"","NAME","Y","X"
"4946","Busta Brecks",1070021,421014
"4942","Springfield",1069950,420622
"7200","Meoness",1069740,420581
"10512","Point of Sinsoss",1056371,378479
"10568","Altars of Linnay",1056060,375818
"8767","Dennis Ness",1055837,378086
"10569","Point of Savegeo",1055747,375566
"10546","Point of Skivar",1055695,378953
"10511","Grey Stane",1055392,375487
"8766","Dennis Head",1055349,379018
"10509","Tor Ness",1055335,375617
"10571","Brae of Breck",1055235,376782
"10570","The Staff",1055145,375523
"10508","Ancumtoun",1055070,376171
"10572","Snash Ness",1054984,377269
"10510","Cellar of Hamargeo",1054599,375580
"10507","Linklet",1054066,375982
"854","Hollandstoun",1053195,375684
"2960","Bow Head",1052899,345859
"853","Nesstoun",1052885,376497
"3770","Kirbest",1052386,375973
"10506","Bustatoun",1052364,376104
"4701","Aikerness",1051811,345512
"11410","Holland",1051547,348907
"10549","Point of Burrian",1051335,376309
"2963","Backaskaill",1050908,348796
"11409","Rackwick",1050075,344561
"4699","The Links",1049207,343707
"2959","Pierowall",1048452,343723
"6313","Broughton",1048133,344433
"6312","Braehead",1047699,344197
"4700","Gallowhill",1046083,344276
"6314","Midbea",1044313,344583
"2943","Lady Village",1041083,368865
"2957","Red Head",1040701,357065
"2961","Weather Ness",1040405,352364
"2958","Grey Head",1040358,357981
"8556","Grey Manse",1038663,366041
"2942","Kettletoft",1038512,365853
"8553","Bea Ness",1038408,365657
"2962","Point of Huro",1038387,349635
"8561","Wheelan Banks",1038362,367063
"8554","Els Ness",1038239,367370
"2944","Tres Ness",1038113,370897
"2946","Lamba Ness",1037993,361382
"8555","Goe of Holmsound",1037915,366822
"8558","Point of Holmsound",1037777,366807
"8552","Seal Skerry",1037546,366443
"8559","Sivers Geo",1037497,367122
"8550","Holm Sound",1037476,366823
"8551","Ronney",1037466,366559
"8557","Otter Hole",1037249,367299
"8560","The Swarf",1037031,367500
"14233","Stove",1035581,360983
"4568","Kilns of Brin-Novan (Blowholes)",1035000,338338
"2956","Fers Ness",1034488,353055
"14645","Fersness",1033788,353047
"2945","Spur Ness",1033391,360648
"4602","Wasbister",1032858,339335
"14647","West Side",1032722,353268
"12613","Buaile nan Sgrath",1032203,180648
"4595","Twelve Hours Tower",1031242,339010
"1813","Bogha CÃ²rr",1031239,161230
"1814","Boghannan as IÃ r",1031039,161840
"4861","Pal a Chaitainich",1030939,162379
"4862","Lunndastoth",1030822,162385
"1815","Bogha Leathainn",1030791,161866
"4863","Bealach an t-Suidhe",1030572,162022
"2941","Backaland",1030298,356529
"4597","Ward Hill",1030023,338433
"2949","Links Ness",1029866,361564
"4603","Lower Meadow",1029857,342632
"4596","Westside",1029846,337769
"4592","Valley of Uraday",1029828,338308
"14654","Southside",1029681,355941
"1816","Gralisgeir",1029661,161819
"4598","Mid Meadow",1029509,342817
"14655","Veness",1029358,357351
"4567","Hass of Goustie",1029106,342403
"4590","Swarta Fiold",1028706,339190
"4569","High Brae of Camps",1028615,341418
"4594","Hass of Glifter",1028604,340270
"2948","Grice Ness",1028517,367464
"4600","Glifter",1028479,343064
"2947","Whitehall",1028431,365905
"2955","War Ness",1028354,355037
"4599","Hass of Trumland",1028278,341860
"4605","Sinclairs Hill",1028219,340336
"4604","Kesburn",1028133,341229
"4601","Gurnadee",1028069,341452
"4586","Mount Pleasant",1028041,340340
"4591","Frotoft",1028037,339943
"13222","Birsay",1028004,325227
"4588","Yarso",1027972,340381
"4607","Tirharrold",1027937,341241
"4606","Green Hill",1027742,341540
"4587","Frotoft",1027697,340506
"4593","Brinian",1027684,343433
"13917","Sleet Moss",1025391,332220
"13223","Evie",1024712,337765
"8691","Twatt",1024458,326887
"2954","Vat of Kirbister",1023890,368688
"4730","Hill of Huntis",1023851,336515
"4748","Woodwick",1023834,338603
"4737","Muckle Billia Fiold",1023661,335520
"4755","North Kews",1023601,336421
"14625","Rothiesholm",1023219,362024
"4723","South Kews",1023135,336542
"4749","Nethabooth",1023104,336152
"4839","The Stramp",1023035,322826
"4716","Starra Fiold",1022949,335182
"14624","Greeny",1022908,328491
"4836","Yonbell",1022868,324807
"4721","Ayrean",1022799,336576
"4740","Knowe of Evrigert",1022706,337061
"4729","Starling Hill",1022704,334757
"4835","Outshore Point",1022640,322644
"2938","Ness of Ork",1022444,354220
"4728","Cracka Longi",1022389,337462
"4833","Vestra Fiold",1022333,323670
"2953","Holland",1022213,366161
"4838","Flaas o Cruaday",1022202,325392
